id,sample_category,sha,msg_index,labels_gpt,labels_claude,labels_a1,labels_a2,labels_consensus
16,1.1 New Implementation,3b82b288abb2bd5fd97cc8186be358fce618f3d7,0,"6.2 Toolchain Operation
1.1 New Implementation",1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
17,1.1 New Implementation,c82470c4c0c255accb2ebe4e8acd867d4fbe6448,1,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
18,1.1 New Implementation,c5c48ee1a37fe1ea0aaba25a23561f90cb239732,0,"6.2 Toolchain Operation
1.1 New Implementation","1.1 New Implementation
6.2 Toolchain Operation",6.2 Toolchain Operation,6.2 Toolchain Operation,6.2 Toolchain Operation
19,1.1 New Implementation,63d55d37e2b52ad6248638a838edd6afd02868ba,88,1.1 New Implementation,"1.1 New Implementation
1.2 Iterative Modification",1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
20,1.1 New Implementation,055fa3bc4b125544b3704fe86c184512b05f7464,8,"1.1 New Implementation
6.1 Documentation",1.1 New Implementation,1.1 New Implementation,1.1 New Implementation,1.1 New Implementation
21,1.2 Iterative Modification,a81e9894d97da0cf2083978587abb7b65afa6343,11,"1.2 Iterative Modification
4.1 Information Injection","1.1 New Implementation
4.1 Information Injection",1.1 New Implementation,1.1 New Implementation,"1.1 New Implementation
4.1 Information Injection"
22,1.2 Iterative Modification,f0dcfaf6b430cc97ff4fcf1e47400422c6178e11,23,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
23,1.2 Iterative Modification,11bfe90dc6cc48d3d6ad8536bf25241a8c55b28c,36,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
24,1.2 Iterative Modification,86bbb8d7b5fb4997adcd299bffc8ea5795ba5169,20,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
25,1.2 Iterative Modification,0d04262ef344cdf0710a60ab5b11c3ab8f304791,0,1.2 Iterative Modification,7.4 Deferred Implementation,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
26,1.2 Iterative Modification,d12e350edf05233cc0df2faea15e9cd3faa52346,2,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
27,1.2 Iterative Modification,02f08eff64791af2377bdd933582af58ee40aea5,105,1.2 Iterative Modification,1.2 Iterative Modification,4.1 Information Injection,1.2 Iterative Modification,1.2 Iterative Modification
28,1.2 Iterative Modification,0ea21319283381a495adc3597eec1b268855ba4e,8,"1.2 Iterative Modification
1.3 Alignment Correction",1.2 Iterative Modification,1.2 Iterative Modification,"7.5 Sentiment Expression
1.2 Iterative Modification",1.2 Iterative Modification
29,1.2 Iterative Modification,cfea28b2c4ebd1d5da7dae9a557de60d8a2e7b85,1,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
30,1.2 Iterative Modification,3f9427ff9397868e8a2791d74c53907606b8e5f7,0,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
31,1.2 Iterative Modification,b11c8261f8d3ccd1ce99785dab6c2ab37532095d,1,1.2 Iterative Modification,1.1 New Implementation,1.1 New Implementation,1.2 Iterative Modification,1.2 Iterative Modification
32,1.2 Iterative Modification,3d9016643af2eb62f3feb4a0f051510d02b349b5,0,1.2 Iterative Modification,1.1 New Implementation,1.1 New Implementation,1.2 Iterative Modification,1.1 New Implementation
33,1.2 Iterative Modification,37f1679597e2562b2856d4c0301719091e620345,0,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
34,1.2 Iterative Modification,d12b64f4a66a63c3b94d02ce957ad0d0c64697be,92,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
35,1.2 Iterative Modification,a9746d04772f565a158d9e899cf16270636a774f,16,"1.2 Iterative Modification
2.2 Symptom Description","2.2 Symptom Description
1.1 New Implementation","2.2 Symptom Description
1.2 Iterative Modification","2.2 Symptom Description
1.1 New Implementation","1.2 Iterative Modification
2.2 Symptom Description"
36,1.2 Iterative Modification,e4688531945ffc3b79d1acd181bd1a1362de8ef6,5,"1.2 Iterative Modification
5.1 Code Review
3.2 Project Comprehension","1.1 New Implementation
3.3 General Knowledge Query","5.1 Code Review
3.1 Planning & Consultation","1.1 New Implementation
3.3 General Knowledge Query","1.1 New Implementation
5.1 Code Review"
37,1.2 Iterative Modification,b947cf0e4caf688a99ad2ff275517348f2ef98fb,1,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
38,1.2 Iterative Modification,ba60e21d31fbfc3cd7cae8a9e7bf22c74ebe66e9,16,1.2 Iterative Modification,1.1 New Implementation,1.1 New Implementation,1.2 Iterative Modification,1.2 Iterative Modification
39,1.2 Iterative Modification,7b0c0fed1edbc4603e092859eee2f2947f7d7f78,10,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
40,1.2 Iterative Modification,76f244785ee25844cdf1c53af80bd31593892b26,13,"6.1 Documentation
1.2 Iterative Modification","1.2 Iterative Modification
6.1 Documentation",1.2 Iterative Modification,"1.2 Iterative Modification
6.1 Documentation","6.1 Documentation
1.2 Iterative Modification"
41,1.3 Alignment Correction,5f42f66902330acbb2cbf4b4dd25d378b5a7517a,1,"1.2 Iterative Modification
1.3 Alignment Correction","3.1 Planning & Consultation
2.2 Symptom Description",3.1 Planning & Consultation,3.1 Planning & Consultation,3.1 Planning & Consultation
42,1.3 Alignment Correction,9f5f16a6ff62f221f918075fae92eea30270d2ef,12,"1.3 Alignment Correction
1.2 Iterative Modification","1.3 Alignment Correction
4.1 Information Injection",5.1 Code Review,"1.3 Alignment Correction
4.1 Information Injection","1.3 Alignment Correction
4.1 Information Injection"
43,1.3 Alignment Correction,3bf2c68a0341932243f8e6e3585b4f77bb47892a,109,"4.1 Information Injection
1.3 Alignment Correction",4.1 Information Injection,4.1 Information Injection,"1.3 Alignment Correction
4.1 Information Injection","4.1 Information Injection
1.3 Alignment Correction"
44,1.3 Alignment Correction,14e4486dea5f4496791fa536a78bebc43819caaf,11,"1.3 Alignment Correction
1.2 Iterative Modification","1.3 Alignment Correction
4.1 Information Injection","1.3 Alignment Correction
1.2 Iterative Modification","1.3 Alignment Correction
4.1 Information Injection","1.3 Alignment Correction
1.2 Iterative Modification"
45,1.3 Alignment Correction,ff034224d4d1854bbff5048a7a1ecab92cd34359,1,"1.3 Alignment Correction
1.2 Iterative Modification","1.2 Iterative Modification
2.2 Symptom Description",1.2 Iterative Modification,"1.2 Iterative Modification
2.2 Symptom Description","1.2 Iterative Modification
2.2 Symptom Description"
46,1.3 Alignment Correction,3fb63d9a7c45105b5b175c070786301d3bf53058,4,1.3 Alignment Correction,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
47,1.3 Alignment Correction,140bbefed2ad3ef7a935091f3cea18968437dda2,53,"2.2 Symptom Description
1.3 Alignment Correction","2.2 Symptom Description
7.5 Sentiment Expression",3.2 Project Comprehension,"2.2 Symptom Description
7.5 Sentiment Expression","2.2 Symptom Description
7.5 Sentiment Expression"
48,1.3 Alignment Correction,480ddd15bdc0f62642503b32d1408c636221cd5b,6,"1.2 Iterative Modification
1.3 Alignment Correction",1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
49,1.3 Alignment Correction,f0dcfaf6b430cc97ff4fcf1e47400422c6178e11,43,1.3 Alignment Correction,"2.2 Symptom Description
7.5 Sentiment Expression",1.2 Iterative Modification,2.2 Symptom Description,2.2 Symptom Description
50,1.3 Alignment Correction,2ea82bf890f9964fb41a304bf0e1fe66fcc7d9ea,13,"1.2 Iterative Modification
1.3 Alignment Correction",1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification,1.2 Iterative Modification
51,1.3 Alignment Correction,d7b9ea3ea79281fd60ee47e6478756409c3693f6,15,"2.2 Symptom Description
1.3 Alignment Correction",2.2 Symptom Description,2.3 Error Persistence,2.2 Symptom Description,"2.2 Symptom Description
1.3 Alignment Correction"
52,1.3 Alignment Correction,030742b593464c0861870849a2fea825c1c7dd2f,59,1.3 Alignment Correction,1.3 Alignment Correction,1.2 Iterative Modification,1.3 Alignment Correction,1.3 Alignment Correction
53,1.3 Alignment Correction,64c193a9eb89e965fa05fbf9189e9bc4d3186210,24,1.3 Alignment Correction,1.3 Alignment Correction,1.3 Alignment Correction,1.3 Alignment Correction,1.3 Alignment Correction
54,1.3 Alignment Correction,3eed3a2ade57a2dcd382b416a81844168a468b0f,2,"1.3 Alignment Correction
1.2 Iterative Modification","1.3 Alignment Correction
1.2 Iterative Modification",3.1 Planning & Consultation,1.3 Alignment Correction,"1.3 Alignment Correction
1.2 Iterative Modification"
55,1.3 Alignment Correction,f5772b6c00283ae29e4f17b4c35f58b2c736f3a7,1,1.3 Alignment Correction,2.2 Symptom Description,3.2 Project Comprehension,2.2 Symptom Description,2.2 Symptom Description
56,1.3 Alignment Correction,839757f24b945e2301f8eb30346beaff167af3c1,3,"4.2 Behavior Specification
1.3 Alignment Correction","1.3 Alignment Correction
4.2 Behavior Specification",4.2 Behavior Specification,4.2 Behavior Specification,"4.2 Behavior Specification
1.3 Alignment Correction"
57,1.3 Alignment Correction,597ec66c1f3a172a169857561e9a4dcdbe543dc5,1,"1.3 Alignment Correction
1.2 Iterative Modification",1.3 Alignment Correction,3.2 Project Comprehension,1.3 Alignment Correction,1.3 Alignment Correction
58,1.3 Alignment Correction,bd21066cdf49d9146f0b87b1a87565a96f54d5c7,12,"2.3 Error Persistence
1.3 Alignment Correction","2.3 Error Persistence
1.3 Alignment Correction","2.3 Error Persistence
1.3 Alignment Correction","2.3 Error Persistence
1.3 Alignment Correction","2.3 Error Persistence
1.3 Alignment Correction"
59,1.3 Alignment Correction,a0d32d294a2c298f728a8c763381ecd2daf19b0f,2,"1.2 Iterative Modification
1.3 Alignment Correction","1.2 Iterative Modification
4.2 Behavior Specification",1.2 Iterative Modification,"1.2 Iterative Modification
4.2 Behavior Specification","1.2 Iterative Modification
4.2 Behavior Specification"
60,1.3 Alignment Correction,680b1086f2fe32a6caade46e71fe68e7cbbf0312,3,"1.3 Alignment Correction
1.2 Iterative Modification",4.2 Behavior Specification,1.2 Iterative Modification,4.2 Behavior Specification,1.2 Iterative Modification
61,2.1 Log Paste,fe65141f36543bdbf60626001fed90a15d8abc0f,3,2.1 Log Paste,2.1 Log Paste,2.2 Symptom Description,2.1 Log Paste,2.1 Log Paste
62,2.1 Log Paste,461f58ca1caac1b176ef6513d0540d595cfd9e7e,3,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste
63,2.1 Log Paste,426c8f535a8e867c21e3f2b8d632270b472e5333,7,"2.2 Symptom Description
2.1 Log Paste","2.1 Log Paste
2.2 Symptom Description",2.1 Log Paste,"2.1 Log Paste
2.2 Symptom Description","2.2 Symptom Description
2.1 Log Paste"
64,2.1 Log Paste,d95d2b125a1d5e80a49bda7e71e181f5387daae0,0,2.1 Log Paste,"2.1 Log Paste
2.2 Symptom Description
4.1 Information Injection",2.2 Symptom Description,"2.1 Log Paste
2.2 Symptom Description
4.1 Information Injection","2.1 Log Paste
2.2 Symptom Description"
65,2.1 Log Paste,7c64d48018b647f5a05c801bdd2465478db064a5,4,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste
66,2.1 Log Paste,71d7fcf8dc10f652339ab324199d6f19c121174d,26,2.1 Log Paste,2.1 Log Paste,"2.1 Log Paste
2. Failure Reporting",2.1 Log Paste,2.1 Log Paste
67,2.1 Log Paste,d3768e8e4bf10c16658c6708ff273925b1d0c802,2,"2.2 Symptom Description
2.1 Log Paste","2.1 Log Paste
2.2 Symptom Description","2.1 Log Paste
3.1 Planning & Consultation","2.1 Log Paste
4.2 Behavior Specification","2.2 Symptom Description
2.1 Log Paste"
68,2.1 Log Paste,3887be09917805930645399b5bc45f17327b7557,23,2.1 Log Paste,2.1 Log Paste,"2.1 Log Paste
2. Failure Reporting",2.1 Log Paste,2.1 Log Paste
69,2.1 Log Paste,91ab6dcbb4cf3165d7f9185dbc137fa77c007561,7,"2.1 Log Paste
2.2 Symptom Description","2.1 Log Paste
2.2 Symptom Description",2.2 Symptom Description,"2.1 Log Paste
2.2 Symptom Description","2.1 Log Paste
2.2 Symptom Description"
70,2.1 Log Paste,2c780288544a770420efb53926b768f7625cde56,7,2.1 Log Paste,2.1 Log Paste,2.2 Symptom Description,2.1 Log Paste,2.1 Log Paste
71,2.1 Log Paste,1801c40cf84d6f9d866b7522007125fcbb70a1eb,50,2.1 Log Paste,2.1 Log Paste,8.1 Others,2.1 Log Paste,2.1 Log Paste
72,2.1 Log Paste,8f242e288ce15e62dfdc457a9796e54588609b10,5,"2.3 Error Persistence
2.1 Log Paste","2.1 Log Paste
2.3 Error Persistence","2.3 Error Persistence
2.1 Log Paste","2.1 Log Paste
2.3 Error Persistence","2.3 Error Persistence
2.1 Log Paste"
73,2.1 Log Paste,ceabee42892516e0a16914d2303b6dba206cc8eb,4,"2.2 Symptom Description
2.1 Log Paste","2.1 Log Paste
3.3 General Knowledge Query",2.1 Log Paste,"2.1 Log Paste
2.2 Symptom Description","2.2 Symptom Description
2.1 Log Paste"
74,2.1 Log Paste,c45a8101cf0a628b2c31e73488f72f1643710993,13,"2.1 Log Paste
2.2 Symptom Description","2.1 Log Paste
2.2 Symptom Description","2.1 Log Paste
2.2 Symptom Description","2.1 Log Paste
2.2 Symptom Description","2.1 Log Paste
2.2 Symptom Description"
75,2.1 Log Paste,daa08db61555eadf9680bb8cac920c6036a4a266,0,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste
76,2.1 Log Paste,0ca8f80ada449a27c95421f0b82efe7af822aba6,0,2.1 Log Paste,"2.2 Symptom Description
3.3 General Knowledge Query",2.2 Symptom Description,2.1 Log Paste,2.1 Log Paste
77,2.1 Log Paste,7839f561cddd1609dfb6c96520f203605c08c02d,0,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste
78,2.1 Log Paste,6f9bbf12671298c983a8e59209154329141a02cd,103,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste
79,2.1 Log Paste,b09f13c8130cf17205f6b6d5de0675b76c0e8217,0,"6.1 Documentation
3.1 Planning & Consultation
2.1 Log Paste","2.1 Log Paste
1.1 New Implementation
6.1 Documentation
3.1 Planning & Consultation
7.5 Sentiment Expression","2.1 Log Paste
1.2 Iterative Modification
6.1 Documentation
3.1 Planning & Consultation","2.1 Log Paste
1.1 New Implementation
6.1 Documentation
3.1 Planning & Consultation
7.5 Sentiment Expression","2.1 Log Paste
1.2 Iterative Modification
6.1 Documentation
3.1 Planning & Consultation"
80,2.1 Log Paste,54a26d5db6d6429e6a2e33008aeb22c6acbff29a,12,"1.1 New Implementation
2.2 Symptom Description
2.1 Log Paste","2.1 Log Paste
2.2 Symptom Description
1.1 New Implementation","2.2 Symptom Description
1.2 Iterative Modification","2.1 Log Paste
2.2 Symptom Description
1.1 New Implementation","2.1 Log Paste
2.2 Symptom Description
1.1 New Implementation"
81,2.2 Symptom Description,71e3fa2ffc4177be756fb17fc45212cad6da0299,6,2.2 Symptom Description,"2.2 Symptom Description
2.1 Log Paste",2.2 Symptom Description,"2.1 Log Paste
2.2 Symptom Description",2.2 Symptom Description
82,2.2 Symptom Description,85df6c41cfb9ee558d3f38456042096d1bc9e561,7,"1.2 Iterative Modification
2.2 Symptom Description
4.2 Behavior Specification","2.2 Symptom Description
3.2 Project Comprehension
1.2 Iterative Modification
4.2 Behavior Specification","2.2 Symptom Description
3.2 Project Comprehension","2.2 Symptom Description
3.2 Project Comprehension
1.2 Iterative Modification
4.2 Behavior Specification","2.2 Symptom Description
3.2 Project Comprehension
1.2 Iterative Modification
4.2 Behavior Specification"
83,2.2 Symptom Description,16ac36d36196534e309f1f3e9608b8014a1d6369,13,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description
84,2.2 Symptom Description,1c5bf22ff4d3372fe3aca6277dc656f293557de8,49,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description
85,2.2 Symptom Description,89441c95c6b2a32968ffdac6e6674da4fa061079,42,2.2 Symptom Description,2.2 Symptom Description,"2.2 Symptom Description
2 Failure Reporting",2.2 Symptom Description,2.2 Symptom Description
86,2.2 Symptom Description,4bfa4d793526cdb04d5447f212f3978793a5b5c7,16,2.2 Symptom Description,2.2 Symptom Description,"2.2 Symptom Description
1.2 Iterative Modification",2.2 Symptom Description,2.2 Symptom Description
87,2.2 Symptom Description,727e654a6cbaf55fda96ae8e3aefecfe21306b7d,7,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description
88,2.2 Symptom Description,72eaae26d9143baeae0542ea908480ab939abe83,11,2.2 Symptom Description,3.3 General Knowledge Query,3.2 Project Comprehension,2.2 Symptom Description,2.2 Symptom Description
89,2.2 Symptom Description,f765efecfd39e6fd8a03b24a04584120d2e34acf,58,"1.2 Iterative Modification
2.2 Symptom Description","2.2 Symptom Description
1.2 Iterative Modification","2.2 Symptom Description
1.2 Iterative Modification","2.2 Symptom Description
1.2 Iterative Modification","2.2 Symptom Description
1.2 Iterative Modification"
90,2.2 Symptom Description,cf9f4e171a8d506f92e0635145afc2603c44a5c5,6,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description
91,2.2 Symptom Description,60520692d5490369ad761a32d5b2659438212f7c,4,"2.2 Symptom Description
1.2 Iterative Modification","2.2 Symptom Description
1.2 Iterative Modification",1.2 Iterative Modification,"2.2 Symptom Description
1.2 Iterative Modification","2.2 Symptom Description
1.2 Iterative Modification"
92,2.2 Symptom Description,bf936425b5dcdef93edc0de92869d83fdcca375b,7,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description
93,2.2 Symptom Description,643da93888ee1e4bcac0c6bc472409faff7222df,48,2.2 Symptom Description,2.2 Symptom Description,5.1 Code Review,2.2 Symptom Description,2.2 Symptom Description
94,2.2 Symptom Description,762c4e9e9167c87478785f257eb4abfa4f7d15df,0,"2.2 Symptom Description
5.1 Code Review","3.2 Project Comprehension
2.2 Symptom Description",2.1 Log Paste,2.2 Symptom Description,2.2 Symptom Description
95,2.2 Symptom Description,6124d5ca33acac98c84c849425fd954e8d56d63d,3,"2.2 Symptom Description
3.3 General Knowledge Query","2.2 Symptom Description
3.3 General Knowledge Query","2.2 Symptom Description
3.1 Planning & Consultation",2.2 Symptom Description,"2.2 Symptom Description
3.1 Planning & Consultation"
96,2.2 Symptom Description,a6913260af5fbb64f8ef8a5fccc8904045d94ba9,32,"2.2 Symptom Description
4.2 Behavior Specification","2.2 Symptom Description
3.1 Planning & Consultation
4.2 Behavior Specification",2.2 Symptom Description,"2.2 Symptom Description
4.2 Behavior Specification","2.2 Symptom Description
4.2 Behavior Specification"
97,2.2 Symptom Description,f12a4ce77d8b08d9babaa6164aef75b6a3e186a3,61,"2.2 Symptom Description
5.1 Code Review","2.2 Symptom Description
5.1 Code Review","2.2 Symptom Description
5.1 Code Review","2.2 Symptom Description
5.1 Code Review","2.2 Symptom Description
5.1 Code Review"
98,2.2 Symptom Description,81c75044ab9415e5b01aa9e1872291176b6fcbc4,0,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description
99,2.2 Symptom Description,0bf9338b9f3ac3364af45cbb3027cb6f9e2b33a0,126,"2.2 Symptom Description
7.5 Sentiment Expression","7.5 Sentiment Expression
2.2 Symptom Description
1.3 Alignment Correction","2.2 Symptom Description
2.3 Error Persistence","7.5 Sentiment Expression
2.2 Symptom Description
1.3 Alignment Correction","7.5 Sentiment Expression
2.2 Symptom Description"
100,2.2 Symptom Description,a536870b888206cc66547361db83ebef9bc0f655,21,"2.2 Symptom Description
1.2 Iterative Modification",2.2 Symptom Description,2.1 Log Paste,2.2 Symptom Description,2.2 Symptom Description
101,2.3 Error Persistence,0599a24f651f2aea999b5800118712baaafda166,71,"2.3 Error Persistence
2.2 Symptom Description","2.2 Symptom Description
7.5 Sentiment Expression","3.3 General Knowledge query
2.2 Symptom Description ",2.2 Symptom Description,2.2 Symptom Description
102,2.3 Error Persistence,c0abd31e1e5b61af28c76756d47f4dfd7ad88d00,7,2.3 Error Persistence,2.3 Error Persistence,2.3 Error Persistence,2.3 Error Persistence,2.3 Error Persistence
103,2.3 Error Persistence,0b21f5d4a02254ebcd4ab1e0d7d0e12bd777dc67,2,2.3 Error Persistence,"5.1 Code Review
2.3 Error Persistence",5.1 Code Review,2.3 Error Persistence,2.3 Error Persistence
104,2.3 Error Persistence,9b76925fa9431e68a6451df6c8f9e2724cc00fbe,4,2.3 Error Persistence,"2.3 Error Persistence
2.2 Symptom Description","2.3 Error Persistence
2.2 Symptom Description",2.3 Error Persistence,"2.3 Error Persistence
2.2 Symptom Description"
105,2.3 Error Persistence,408bd9421d6636352b2e116f9a03dafe9f516b86,3,"1.2 Iterative Modification
1.3 Alignment Correction
2.3 Error Persistence","2.3 Error Persistence
1.3 Alignment Correction
7.5 Sentiment Expression","2.3 Error Persistence
7.5 Sentiment Expression",2.3 Error Persistence,"2.3 Error Persistence
7.5 Sentiment Expression"
106,2.3 Error Persistence,1f9a2d8547e50c2bfe669d86f258e9d4b32a1080,17,"2.3 Error Persistence
2.1 Log Paste",2.2 Symptom Description,2.2 Symptom Description,2.3 Error Persistence,"2.3 Error Persistence
2.2 Symptom Description"
107,2.3 Error Persistence,8da763ec47b64f17681b672c89e0cde7c5851d29,5,"2.3 Error Persistence
6.2 Toolchain Operation
7.5 Sentiment Expression","2.3 Error Persistence
7.5 Sentiment Expression","2.3 Error Persistence
3.3 General Knowledge Query",2.3 Error Persistence,2.3 Error Persistence
108,2.3 Error Persistence,325ffb4741742134e2c6290c413f80a6183cf5ea,5,"2.3 Error Persistence
1.3 Alignment Correction","1.3 Alignment Correction
1.2 Iterative Modification","2.2 Symptom Description
1.3 Alignment Correction","2.3 Error Persistence
1.2 Iterative Modification","2.3 Error Persistence
1.3 Alignment Correction"
109,2.3 Error Persistence,7b6b06e449b516528d1a6080207b6648197d167a,90,"2.3 Error Persistence
2.2 Symptom Description",2.3 Error Persistence,"2.3 Error Persistence
2.2 Symptom Description",2.3 Error Persistence,"2.3 Error Persistence
2.2 Symptom Description"
110,2.3 Error Persistence,8a62b060db1cf2a9bdac16c23df68e69c88bfd25,7,"2.3 Error Persistence
2.2 Symptom Description",2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description,2.2 Symptom Description
111,2.3 Error Persistence,c9f20ad6192e900d2e02a0ef4a127969cebccd30,5,"2.3 Error Persistence
2.2 Symptom Description",4.1 Information Injection,2.3 Error Persistence,2.2 Symptom Description,"2.3 Error Persistence
2.2 Symptom Description"
112,2.3 Error Persistence,8da763ec47b64f17681b672c89e0cde7c5851d29,30,"2.3 Error Persistence
2.1 Log Paste
7.5 Sentiment Expression","4.2 Behavior Specification
2.1 Log Paste
2.3 Error Persistence
7.5 Sentiment Expression","2.3 Error Persistence
2.1 Log Paste
7.2 Continuation","2.3 Error Persistence
7.5 Sentiment Expression","2.3 Error Persistence
2.1 Log Paste
7.5 Sentiment Expression"
113,2.3 Error Persistence,93981ca1e3b4362ef25daaf65fa9cb4ca077d6e2,58,"2.1 Log Paste
2.3 Error Persistence",2.1 Log Paste,2.1 Log Paste,2.1 Log Paste,2.1 Log Paste
